61,mtproxy,Simple MT-Proto proxy,sudo snap install mtproxy,Server and cloud
62,uhttpd,A laughably-small HTTP server,sudo snap install uhttpd,Server and cloud
63,mc-server-installer,Minecraft Server Downloader and Installer,sudo snap install mc-server-installer,Server and cloud
64,znc-arubislander,Advanced modular IRC bouncer,sudo snap install znc-arubislander--edge,Server and cloud
65,kubefed,kubefed controls the Kubernetes cluster federation manager.,sudo snap install kubefed --classic,Server and cloud
66,dash,POSIX-compliant shell,sudo snap install dash-shell,Server and cloud
67,Subsonic,"Your complete, personal media streamer.",sudo snap install subsonic-arubislander,Server and cloud
68,sync-agent,Infobaleen sync agent,sudo snap install sync-agent,Server and cloud
69,barrier-kvm,Eliminate the barrier between your machines.,sudo snap install barrier-kvm,Server and cloud
70,fluxctl,fluxctl talks to Weave Flux and helps you deploy your code,sudo snap install fluxctl,Server and cloud
71,MetaTron,Global Internet Monitoring Agent,sudo snap install metatron,Server and cloud
72,quorum,A permissioned implementation of Ethereum supporting data privacy,sudo snap install quorum--edge,Server and cloud
73,telegraf-sajoupa,Telegraf agent,sudo snap install telegraf-sajoupa --classic,Server and cloud
74,EdgeX InfluxDB Proxy Server,Proxy data from EdgeX device services to InfluxDB using export-distro,sudo snap install edgex-influx-proxy,Server and cloud
75,gobetween,modern & minimalistic load balancer and reverse-proxy for the Cloud era,sudo snap install gobetween--edge,Server and cloud
76,Grafana,feature rich metrics dashboard and graph editor,sudo snap install grafana-ijohnson,Server and cloud
77,kubeadm,Tool for bootstrapping Kubernetes clusters.,sudo snap install kubeadm --classic,Server and cloud
78,AWS IoT Greengrass,"Bring local compute, messaging, data caching, sync, and ML inference capabilities to edge devices",sudo snap install aws-iot-greengrass,Server and cloud
79,blobporter-johanburati,Highly concurrent data transfer tool for Azure Blob Storage,sudo snap install blobporter-johanburati,Server and cloud
80,fbostudios,fbostudios by fpsserver,sudo snap install fbostudios--beta,Server and cloud
81,cloudmonkey,Apache CloudStack CLI,sudo snap install cloudmonkey,Server and cloud
82,jujuna,"Jujuna, continuous deployment, upgrade and testing for Juju.",sudo snap install jujuna--beta,Server and cloud
83,FileZilla (UNOFFICIAL),The free FTP client solution,sudo snap install filezilla--beta,Server and cloud
84,cfn-skeleton,Generates skeleton AWS CloudFormation templates.,sudo snap install cfn-skeleton,Server and cloud
85,cfn-format,Formats AWS CloudFormation templates.,sudo snap install cfn-format,Server and cloud
86,azcopy-johanburati,Command line tool to copy data from/into Azure storage,sudo snap install azcopy-johanburati,Server and cloud
87,cURL,Use cURL to download things,sudo snap install curl-ijohnson,Server and cloud
88,tmate-slave,The best tmate-slave snap you can find.,sudo snap install tmate-slave--beta,Server and cloud
89,redirect-to,"Simple, very fast, in a single binary, with web UI HTTP redirect service",sudo snap install redirect-to,Server and cloud
90,InfluxDB,An Open-Source Time Series Database,sudo snap install influxdb-ijohnson,Server and cloud
91,NodeSnapWeb (nsw),Configurable webserver for snap,sudo snap install nsw,Server and cloud
92,oracle-cloud-agent,Oracle Cloud Agent,sudo snap install oracle-cloud-agent --classic,Server and cloud
93,qgsrepo,A simple QGIS repository generator written in Rust,sudo snap install qgsrepo,Server and cloud
94,fcbtest,fcbtest is Rally + Tempest + refstack tests,sudo snap install fcbtest--beta,Server and cloud
95,unixbench,the revised BYTE UNIX benchmark suite,sudo snap install unixbench,Server and cloud
96,gaia,Gaia Daemon,sudo snap install gaia--beta,Server and cloud
97,shadowsocks,"A fast tunnel proxy that helps you bypass ""Firewalls""",sudo snap install shadowsocks,Server and cloud
98,query-exporter,Export Prometheus metrics from SQL queries,sudo snap install query-exporter,Server and cloud
99,serve,serve starts a simple temporary static file server in your current directory,sudo snap install serve,Server and cloud
100,monexec,Light supervisor with optional Consul autoregistration,sudo snap install monexec,Server and cloud
101,workbase-server,WorkBase,sudo snap install workbase-server,Server and cloud
