66,Eternal Lands MMORPG,Eternal Lands is a free 3D fantasy MMORPG (massively multiplayer online role playing game).,sudo snap install eternallands,games
67,hanoi-tower,Latest version of Hanoi Tower,sudo snap install hanoi-tower,games
68,Collision,A ball dodging game,sudo snap install collision,games
69,Love2d,Hi there! LÖVE is here :),sudo snap install love2d,games
70,level9,Interpreter for Level 9 interactive fiction games,sudo snap install level9,games
71,Moonlight,Play games remotely from your NVIDIA GameStream-enabled PC,sudo snap install moonlight,games
72,gdlauncher,GDLauncher,sudo snap install gdlauncher--beta,games
73,ags,adventure game studio engine for playing ags games.,sudo snap install ags,games
74,mgba,mGBA Game Boy Advance Emulator https://mgba.io/,sudo snap install mgba,games
75,vitetris,Console based version of Tetris,sudo snap install vitetris,games
76,LambdaRogue: The Book of Stars,LambdaRogue is a roguelike RPG,sudo snap install lambdarogue--beta,games
77,codenamelt,A pixelart game where you have to run without getting caught by evil agents.,sudo snap install codenamelt,games
78,ksirk,Risk strategy game,sudo snap install ksirk,games
79,gnome-hitori,Play the Hitori puzzle game,sudo snap install gnome-hitori,games
80,kanagame,A simple flashcard based game for learning kana.,sudo snap install kanagame,games
81,PrBoom+ (fork),A version of the classic 3D shoot'em'up game Doom,sudo snap install prboom-plus-beidl,games
82,kigo,Go Board Game,sudo snap install kigo--candidate,games
83,hanoi-towers,Hanoi Towers Game,sudo snap install hanoi-towers,games
84,epicpinball,Epic Pinball shareware installer,sudo snap install epicpinball,games
85,freeorion,Turn-based space empire and galactic conquest (4X) computer game,sudo snap install freeorion,games
86,Gnome Twitch,Enjoy Twitch on your GNU/Linux desktop,sudo snap install gnome-twitch,games
87,CorsixTH,Open source clone of Theme Hospital,sudo snap install corsixth,games
88,Linux Tycoon,Linux Tycoon for DOS,sudo snap install linuxtycoon,games
89,Solarus,A free and open-source Action-RPG game engine,sudo snap install solarus,games
90,Reicast,Reicast is a Sega Dreamcast emulator,sudo snap install reicast,games
91,Omission,A deceptively simple word puzzle.,sudo snap install omission--beta,games
92,bomber,Arcade Bombing Game,sudo snap install bomber,games
93,VCMI,VCMI — Open-source engine for Heroes of Might and Magic III,sudo snap install vcmi--edge,games
94,GNOME Mines,Clear hidden mines from a minefield,sudo snap install gnome-mines,games
95,kubrick,A 3-D game based on Rubik's Cube,sudo snap install kubrick,games
96,palapeli,Jigsaw puzzle game,sudo snap install palapeli,games
