id,appname,appdesc,applink,category
78,qts3browser,Amazon S3 client written in QT,sudo snap install qts3browser--edge,productivity
79,jotit,Note taking app,sudo snap install jotit,productivity
80,Bitrix24 (Beta),Bitrix24 Desktop (beta),sudo snap install bitrix24,productivity
81,SmartCalc,Clever calc for clever people,sudo snap install smartcalc--edge,productivity
82,Skype,One Skype for all your devices. New features. New look. All Skype.,sudo snap install skype --classic,productivity
83,Flock,Flock: Team Communication App,sudo snap install flock-chat,productivity
84,task-creator,Create github issue,sudo snap install task-creator,productivity
85,google-suggests,Google autocomplete suggestions on the command-line,sudo snap install google-suggests--edge,productivity
86,P3X OneNote,Linux Electron Onenote - A Linux compatible version of OneNote,sudo snap install p3x-onenote,productivity
87,email-securely-app (OBSOLETE),"Obsolete, see description",sudo snap install email-securely-app,productivity
88,remmina,Remote Desktop Client,sudo snap install remmina,productivity
89,Domotz Pro Agent,Powerful IT Tools to Monitor and Manage Multiple Remote Networks,sudo snap install domotzpro-agent-publicstore,productivity
90,GNOME Web,Web browser for GNOME,sudo snap install epiphany,productivity
91,md2pdf-webserver,"md2pdf server package, to render Markdown text from clients into a pretty PDF",sudo snap install md2pdf-webserver--beta,productivity
92,"Polar - Manager for books, PDFs and web","Polar Bookshelf - Manager for web, books, PDFs + notes",sudo snap install polar-bookshelf,productivity
93,Prospect Mail,Unofficial Outlook client,sudo snap install prospect-mail,productivity
94,Count It,Tik Tik ...,sudo snap install countit,productivity
95,clari3d-lite-64,Welcome to the main installation package of Clari3D Lite.,sudo snap install clari3d-lite-64,productivity
96,WPS Office Multi-Language,WPS Office Suite with support for many languages,sudo snap install wps-office-multilang,productivity
97,Snippet Pixie,Your little expandable text snippet helper,sudo snap install snippetpixie--candidate --classic,productivity
98,(UNOFFICIAL) nano (Strict Confinement),"Small, friendly text editor (Strict Confinement)",sudo snap install nano-strict,productivity
99,Winds - RSS & Podcasts,Winds,sudo snap install winds,productivity
100,fman,"Dual-pane file manager for Mac, Windows and Linux",sudo snap install fman,productivity
101,Postbird,PostgreSQL GUI client,sudo snap install postbird,productivity
102,Scrn,Securely access your computer from anywhere in the world,sudo snap install scrn,productivity
103,banana-accounting,Spreadsheet-inspired accounting & financial planning software,sudo snap install banana-accounting,productivity
104,Facebook messenger port,Simple and smart Facebook Messenger Desktop App. Hope that you'll like it.,sudo snap install messengerport,productivity
105,doorlin,Organisieren & Teilen im Team,sudo snap install doorlin,productivity
106,bunqDesktop,"The unofficial, free and open source desktop application for the bunq API",sudo snap install bunqdesktop,productivity
107,md2pdf-client,Use an md2pdf server to render Markdown text into a pretty PDF,sudo snap install md2pdf-client,productivity
108,TelemetryTV Media Player,TelemetryTV Player,sudo snap install telemetrytv,productivity
109,inoxision-webclient,inoxision ENTERPRISEsuite webclient,sudo snap install inoxision-webclient,productivity
110,Telegram Desktop,Official desktop client for the Telegram messenger,sudo snap install telegram-desktop,productivity
111,Mycroft,Your AI personal assistant!,sudo snap install mycroft,productivity
112,freeman,FreeMAN,sudo snap install freeman--beta,productivity
113,large-pcap-analyzer,Command-line utility to process .PCAP files very quickly.,sudo snap install large-pcap-analyzer,productivity
114,bottle,A Bitcoin Browser,sudo snap install bottle,productivity
115,Oversetter,oversetter,sudo snap install oversetter,productivity
116,Sticky Notes,A Sticky Notes Application For Linux,sudo snap install stickynotes,productivity
117,managetime,timer,sudo snap install managetime--beta,productivity
118,mackup,Keep your application settings in sync,sudo snap install mackup --classic,productivity
119,namegen,Name generator for writers,sudo snap install namegen,productivity
120,omegat-cat,"OmegaT, the free (GPL) translation memory tool",sudo snap install omegat-cat,productivity
121,protonmail-desktop-unofficial,Protonmail Desktop (unofficial),sudo snap install protonmail-desktop-unofficial,productivity
122,ICQ,ICQ for Linux,sudo snap install icq-im--beta,productivity
123,Signal Desktop,"Signal Private Messenger for Windows, Mac, and Linux",sudo snap install signal-desktop,productivity
