35,qucs-spice,Quite Universal Circuit Simulator,sudo snap install qucs-spice,https://dashboard.snapcraft.io/site_media/appmedia/2016/09/icon.svg.png,development
36,Poedit 2,Translations editor for gettext and XLIFF,sudo snap install poedit,https://dashboard.snapcraft.io/site_media/appmedia/2018/08/poedit.png,development
37,bower,A package manager for the web,sudo snap install bower --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/02/bower.png,development
38,sqlitebrowser,DB browser for Sqlite,sudo snap install sqlitebrowser--edge,https://dashboard.snapcraft.io/site_media/appmedia/2018/08/icon.svg.png,development
39,micro,A modern and intuitive terminal-based text editor,sudo snap install micro --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/10/micro-logo-mark_yAeRlBT.png,development
40,ruby,Interpreter of object-oriented scripting language Ruby,sudo snap install ruby --classic,https://dashboard.snapcraft.io/site_media/appmedia/2018/04/9c52b09c736d0683d341c126da62d008.png,development
41,dmd,Reference compiler for the D programming language,sudo snap install dmd --classic,https://assets.ubuntu.com/v1/be6eb412-snapcraft-missing-icon.svg,development
42,SQuirreL SQL,A Java SQL client for any JDBC compliant database,sudo snap install squirrelsql,https://dashboard.snapcraft.io/site_media/appmedia/2018/08/splash_256x256.png,development
43,dub,Package and build manager for D applications and libraries,sudo snap install dub --classic,https://assets.ubuntu.com/v1/be6eb412-snapcraft-missing-icon.svg,development
44,ubuntu-make,Setup your development environment on ubuntu easily,sudo snap install ubuntu-make --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/03/pictogram-developer-orange.svg.png,development
45,.NET Core SDK,"Develop high performance applications in less time, on any platform.",sudo snap install dotnet-sdk --classic,https://dashboard.snapcraft.io/site_media/appmedia/2018/05/msft.net_256_8NLBkoS.png,development
46,Lepton,Free & Open-source Code Snippet Manager,sudo snap install lepton,https://dashboard.snapcraft.io/site_media/appmedia/2018/08/icon_i1tlvPA.png,development
47,ubuntu-make,Setup your development environment on ubuntu easily,sudo snap install ubuntu-make --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/03/pictogram-developer-orange.svg.png,development
48,.NET Core SDK,"Develop high performance applications in less time, on any platform.",sudo snap install dotnet-sdk --classic,https://dashboard.snapcraft.io/site_media/appmedia/2018/05/msft.net_256_8NLBkoS.png,development
49,Lepton,Free & Open-source Code Snippet Manager,sudo snap install lepton,https://dashboard.snapcraft.io/site_media/appmedia/2018/08/icon_i1tlvPA.png,development
50,dbeaver-ce,Universal Database Tool,sudo snap install dbeaver-ce--edge,https://dashboard.snapcraft.io/site_media/appmedia/2018/11/dbeaver256-2.png,development
51,emacs-tealeg,GNU Emacs 24.5,sudo snap install emacs-tealeg,https://dashboard.snapcraft.io/site_media/appmedia/2016/08/icon.svg_3.png,development
52,osddm,Oracle SQL Developer Data Modeler,sudo snap install osddm,https://dashboard.snapcraft.io/site_media/appmedia/2016/08/icon256.png,development
